SqFt,Bedrooms,Bathrooms,Offers,Pool,Neighborhood,Price
1790,2,2,2,No,Family-Friendly,114300
2030,4,2,3,No,Family-Friendly,114200
1740,3,2,1,No,Family-Friendly,114800
1980,3,2,3,No,Family-Friendly,94700
2130,3,3,3,No,Family-Friendly,119800
1780,3,2,2,No,Historic,114600
1830,3,3,3,Yes,Urban,151600
2160,4,2,2,No,Urban,150700
2110,4,2,3,No,Family-Friendly,119200
1730,3,3,3,No,Family-Friendly,104000
2030,3,2,3,Yes,Family-Friendly,132500
1870,2,2,2,Yes,Family-Friendly,123000
1910,3,2,4,No,Historic,102600
2150,3,3,5,Yes,Historic,126300
2590,4,3,4,No,Urban,176800
1780,4,2,1,No,Urban,145800
2190,3,3,4,Yes,Family-Friendly,147100
1990,3,3,4,No,Historic,83600
1700,2,2,1,Yes,Family-Friendly,111400
1920,3,3,2,Yes,Urban,167200
1790,3,2,3,No,Family-Friendly,116200
2000,3,2,4,No,Historic,113800
1690,3,2,3,No,Historic,91700
1820,3,2,3,Yes,Historic,106100
2210,4,3,2,Yes,Family-Friendly,156400
2290,4,3,3,No,Historic,149300
2000,4,2,3,No,Urban,137000
1700,3,2,2,No,Family-Friendly,99300
1600,2,2,3,No,Historic,69100
2040,4,3,1,Yes,Urban,188000
2250,4,3,3,Yes,Urban,182000
1930,2,2,2,Yes,Historic,112300
2250,3,3,3,Yes,Family-Friendly,135000
2280,5,3,4,Yes,Family-Friendly,139600
2000,2,2,3,No,Historic,117800
2080,3,3,3,No,Historic,117100
1880,2,2,2,No,Historic,117500
2420,4,3,4,No,Urban,147000
1720,3,2,1,No,Urban,131300
1740,3,2,2,No,Historic,108200
1560,2,2,1,No,Family-Friendly,106600
1840,4,3,2,No,Urban,133600
1990,2,2,3,No,Family-Friendly,105600
1920,3,2,1,Yes,Family-Friendly,154000
1940,3,3,2,Yes,Urban,166500
1810,3,2,3,No,Family-Friendly,103200
1990,2,3,2,No,Historic,129800
2050,3,2,6,No,Historic,90300
1980,2,2,2,No,Family-Friendly,115900
1700,3,2,3,Yes,Historic,107500
2100,3,2,3,Yes,Family-Friendly,151100
1860,2,2,3,No,Historic,91100
2150,2,3,4,No,Historic,117400
2100,3,2,3,No,Historic,130800
1650,3,2,3,No,Historic,81300
1720,2,2,2,Yes,Family-Friendly,125700
2190,3,2,3,Yes,Family-Friendly,140900
2240,4,3,3,No,Urban,152300
1840,3,3,1,No,Urban,138100
2090,4,2,1,No,Urban,155400
2200,3,3,1,No,Urban,180900
1610,2,2,2,No,Historic,100900
2220,4,3,2,No,Urban,161300
1910,2,3,2,No,Family-Friendly,120500
1860,3,2,2,No,Urban,130300
1450,2,2,1,Yes,Historic,111100
2210,3,3,4,No,Historic,126200
2040,4,3,3,No,Family-Friendly,151900
2140,3,2,4,No,Historic,93600
2080,4,3,3,No,Urban,165600
1950,3,3,3,Yes,Urban,166700
2160,4,2,1,No,Urban,157600
1650,3,2,3,No,Historic,107300
2040,3,3,2,No,Family-Friendly,125700
2140,3,3,3,No,Urban,144200
1900,2,2,2,No,Historic,106900
1930,3,2,2,No,Urban,129800
2280,4,3,3,Yes,Urban,176500
2130,3,2,3,No,Historic,121300
1780,4,2,1,No,Urban,143600
2190,3,3,4,Yes,Family-Friendly,143400
2140,4,3,2,Yes,Urban,184300
2050,2,2,1,Yes,Urban,164800
2410,3,3,2,No,Family-Friendly,147700
1520,2,2,3,No,Historic,90500
2250,4,3,2,Yes,Urban,188300
1900,4,2,4,No,Historic,102700
1880,3,3,1,Yes,Urban,172500
1930,3,3,2,No,Historic,127700
2010,2,2,4,No,Historic,97800
1920,4,2,2,No,Urban,143100
2150,3,2,2,No,Family-Friendly,116500
2110,3,2,2,No,Urban,142600
2080,3,3,2,No,Family-Friendly,157100
2150,4,3,3,Yes,Urban,160600
1970,2,2,1,Yes,Urban,152500
2440,3,3,3,No,Family-Friendly,133300
2000,2,2,1,Yes,Family-Friendly,126800
2060,3,2,1,No,Urban,145500
2080,3,3,2,Yes,Urban,171000
2010,3,2,5,No,Historic,103200
2260,3,3,5,No,Family-Friendly,123100
2410,3,3,4,No,Family-Friendly,136800
2440,4,3,3,Yes,Urban,211200
1910,3,2,4,No,Family-Friendly,82300
2530,4,3,4,No,Urban,146900
2130,3,2,4,No,Historic,108500
1890,3,2,1,Yes,Family-Friendly,134000
1990,3,3,3,Yes,Family-Friendly,117000
2110,3,2,3,No,Family-Friendly,108700
1710,2,2,1,No,Historic,111600
1740,2,2,2,No,Historic,114900
1940,2,2,2,Yes,Family-Friendly,123600
2000,3,2,3,Yes,Historic,115700
2010,4,3,2,No,Family-Friendly,124500
1900,3,3,3,No,Historic,102500
2290,5,4,1,Yes,Urban,199500
1920,3,2,2,No,Historic,117800
1950,3,2,3,Yes,Historic,150200
1920,2,2,4,No,Historic,109700
1930,2,3,3,No,Historic,110400
1930,3,3,3,No,Family-Friendly,105600
2060,2,2,1,Yes,Family-Friendly,144800
1900,3,3,3,Yes,Family-Friendly,119700
2160,4,3,3,Yes,Family-Friendly,147900
2070,2,2,2,No,Historic,113500
2020,3,3,1,No,Urban,149900
2250,3,3,4,No,Historic,124600
