,Rank,Peak,All Time Peak,Actual gross,Actual gross(in 2022 dollars),Artist,Tour title,Year(s),Shows,Average gross,Ref.
0,1,1,2,780000000,780000000,Taylor Swift,The Eras Tour †,2023,56,780000000,[1]
1,2,1,7[2],579800000,579800000,Beyoncé,Renaissance World Tour,2023,56,579800000,[3]
2,3,1[4],2[5],411000000,411000000,Madonna,Sticky & Sweet Tour ‡[4][a],2008,85,411000000,[6]
3,4,2[7],10[7],397300000,397300000,Pink,Beautiful Trauma World Tour,2018,156,397300000,[7]
4,5,2[4],,345675146,345675146,Taylor Swift,Reputation Stadium Tour,2018,53,345675146,[8]
5,6,2[4],10[9],305158363,305158363,Madonna,The MDNA Tour,2012,88,305158363,[9]
6,7,2[10],,280000000,280000000,Celine Dion,Taking Chances World Tour,2008,131,280000000,[11]
7,7,,,257600000,257600000,Pink,Summer Carnival †,2023,41,257600000,[12]
8,9,,,256084556,256084556,Beyoncé,The Formation World Tour,2016,49,256084556,[13]
9,10,,,250400000,250400000,Taylor Swift,The 1989 World Tour,2015,85,250400000,[14]
10,11,,,229100000,229100000,Beyoncé,The Mrs. Carter Show World Tour,2013,132,229100000,[15][16]
11,12,,14[17],227400000,227400000,Lady Gaga,The Monster Ball Tour *,2009,203,227400000,[18]
12,13,,,204000000,204000000,Katy Perry,Prismatic World Tour,2014,151,204000000,[19]
13,14,1[20],,200000000,200000000,Cher,Living Proof: The Farewell Tour ‡[21][a],2002,325,200000000,[20]
14,15,2[c],,194000000,194000000,Madonna,Confessions Tour,2006,60,194000000,[5]
15,16,,,184000000,184000000,Pink,The Truth About Love Tour,2013,142,184000000,[22]
16,17,,,170000000,170000000,Lady Gaga,Born This Way Ball,2012,98,170000000,[d]
17,18,,,169800000,169800000,Madonna,Rebel Heart Tour,2015,82,169800000,[4]
18,19,,,167700000,167700000,Adele,Adele Live 2016,2016,121,167700000,[25]
19,20,,,150000000,150000000,Taylor Swift,The Red Tour,2013,86,150000000,[26]
