id,Gender,Age,Travel Category,Travel Class,Distance Travelled,Departure/Arrival Rating,Booking Ease,Boarding Point,Food,Seat Comfort,Entertainment,Leg Room,Luggage Handling,Cleanliness,Departure Delay (min),Arrival Delay (min),Satisfaction
70172,Male,13,Personal Travel,Premium,414,4,3,1,5,5,5,,4,5,25,18,dissatisfied
5047,Male,25,Official,Business,212,2,3,3,1,,1,5,3,1,1,6,dissatisfied
110028,Female,26,Official,Business,1028,2,2,2,5,5,5,3,4,5,0,0,satisfied
24026,Female,25,Official,Business,506,5,5,5,,2,2,5,3,2,11,9,dissatisfied
119299,Male,61,Official,Business,193,3,3,3,,5,3,4,4,3,0,0,satisfied
111157,Female,26,Personal Travel,Economy,1062,4,2,1,1,1,1,,4,1,0,0,dissatisfied
82113,Male,47,Personal Travel,Economy,0,4,2,3,2,2,2,3,4,2,9,23,dissatisfied
96462,Female,52,Official,Business,1832,3,4,4,5,5,5,5,5,4,4,0,satisfied
79485,Female,41,Official,Business,768,2,2,2,4,3,1,2,1,2,0,0,dissatisfied
65725,Male,20,Official,Economy,955,3,,4,2,3,2,3,4,2,0,0,dissatisfied
34991,Female,24,Official,Economy,0,5,5,4,,2,2,3,5,2,0,0,dissatisfied
51412,Female,12,Personal Travel,Premium,277,4,,2,1,1,1,2,5,1,0,0,dissatisfied
98628,Male,53,Official,Economy,751,4,4,4,1,1,1,1,3,1,28,8,dissatisfied
83502,Male,33,Personal Travel,Economy,851,2,4,3,4,,4,5,2,4,0,0,satisfied
95789,Female,26,Personal Travel,Economy,408,,3,2,,2,2,3,2,2,43,35,dissatisfied
100580,Male,13,Official,Economy,0,1,2,3,4,1,4,1,4,4,1,0,dissatisfied
71142,Female,26,Official,Business,0,3,,3,4,4,4,3,4,4,49,51,satisfied
127461,Male,41,Official,Business,1868,4,2,4,4,4,5,5,5,5,0,10,satisfied
70354,Female,45,Official,Business,2237,,4,4,3,5,,5,5,4,7,5,satisfied
66246,Male,38,Personal Travel,Economy,414,3,3,2,5,5,5,2,4,5,17,18,dissatisfied
39076,Male,9,Official,Economy,1057,4,2,4,2,,2,5,3,2,0,4,dissatisfied
22434,Female,17,Personal Travel,Economy,187,1,3,3,,5,5,5,3,5,0,0,dissatisfied
43510,Female,43,Personal Travel,Economy,677,5,3,5,5,5,3,3,5,4,52,29,dissatisfied
114090,Female,58,Personal Travel,Economy,1925,5,4,5,4,4,4,4,4,2,0,0,dissatisfied
105420,Female,23,Official,Economy,0,0,5,1,1,1,1,5,5,1,54,44,satisfied
102956,Male,57,Personal Travel,Economy,647,4,4,,5,5,5,,4,5,27,28,dissatisfied
18510,Female,33,Official,Business,1405,1,1,1,1,3,4,4,3,2,0,0,satisfied
14925,Female,49,Official,Premium,284,4,4,4,2,1,4,4,4,2,0,8,satisfied
118319,Female,36,Official,Business,3012,1,1,1,1,1,3,3,3,2,18,12,dissatisfied
75460,Male,22,Personal Travel,Economy,0,2,3,3,3,,3,4,3,3,19,0,dissatisfied
48492,Female,31,Official,Business,737,,4,4,5,5,5,4,3,5,0,0,satisfied
27809,Female,15,Official,Economy,939,2,2,,5,5,5,1,4,5,3,0,dissatisfied
70594,Female,35,Official,Business,2350,5,4,4,,4,3,4,5,4,109,120,satisfied
30089,Female,67,Personal Travel,Economy,1073,5,4,1,2,5,5,4,3,5,18,24,dissatisfied
58779,Male,37,Official,Business,0,,3,4,1,1,1,1,,1,9,0,dissatisfied
79659,Female,40,Official,Economy,0,4,4,4,1,1,,5,3,1,0,1,dissatisfied
110293,Female,34,Official,Business,795,4,4,3,,2,5,4,5,5,0,0,dissatisfied
48014,Male,40,Personal Travel,Premium,495,3,4,2,2,2,2,1,4,2,23,20,dissatisfied
96517,Female,47,Personal Travel,Economy,272,4,4,3,2,5,,4,4,4,23,31,satisfied
64685,Male,41,Official,Business,0,1,1,2,1,,1,3,4,1,0,0,dissatisfied
64138,Male,39,Official,Business,1561,4,,4,3,,4,4,4,3,0,0,satisfied
60373,Female,25,Official,Business,1307,5,3,4,3,,3,,5,3,9,23,dissatisfied
14849,Male,41,Official,Business,266,,0,3,2,3,4,4,4,3,0,0,satisfied
28319,Female,38,Official,Business,2594,,3,3,,4,5,5,5,4,0,0,satisfied
103012,Female,50,Official,Business,414,1,1,1,3,5,,3,3,5,1,15,satisfied
124114,Male,29,Official,Business,0,,1,1,5,5,5,2,5,5,4,0,satisfied
107794,Female,22,Personal Travel,Business,314,4,2,1,,4,4,5,4,4,0,0,dissatisfied
81983,Female,13,Official,Business,1370,1,1,1,,1,,,3,1,0,0,dissatisfied
53164,Male,54,Official,Business,551,3,3,3,5,3,5,5,5,3,8,0,satisfied
82042,Male,21,Personal Travel,Economy,1309,2,,3,5,5,5,3,3,5,0,0,dissatisfied
72127,Male,28,Official,Economy,0,1,1,1,2,2,2,3,2,2,14,8,dissatisfied
113046,Male,27,Official,Business,1868,3,3,3,4,4,4,4,4,4,0,1,satisfied
1050,Female,69,Official,Economy,278,5,5,5,1,3,5,,5,2,0,0,satisfied
54886,Male,35,Personal Travel,Economy,698,3,2,4,4,,4,4,3,4,1,0,dissatisfied
125918,Female,60,Personal Travel,Economy,775,2,2,3,1,4,4,2,4,4,10,10,dissatisfied
7467,Female,45,Official,Business,3001,4,2,2,4,5,,4,4,5,51,48,satisfied
78972,Female,57,Official,Business,2246,0,,1,,5,5,5,5,5,0,5,satisfied
126625,Male,40,Official,Business,542,5,5,5,2,5,5,5,5,4,0,0,satisfied
114501,Female,38,Official,Business,277,3,3,3,4,4,4,1,4,4,39,26,dissatisfied
114813,Male,23,Official,Economy,401,,2,,,,,,4,4,4,0,dissatisfied
32167,Male,39,Official,Business,194,2,2,3,3,3,3,1,4,3,0,0,dissatisfied
68001,Female,52,Official,Business,0,,2,,4,,4,4,4,3,0,0,satisfied
117052,Male,25,Official,Economy,581,1,2,2,4,3,4,4,3,4,13,1,dissatisfied
8661,Female,48,Official,Business,2251,3,,3,5,4,5,5,5,4,0,0,satisfied
57165,Female,59,Official,Business,2004,5,5,5,2,4,4,4,4,4,30,15,satisfied
78610,Male,25,Official,Business,1283,,3,3,,4,4,4,,4,4,0,satisfied
51058,Male,38,Personal Travel,Economy,171,,2,3,4,4,4,2,4,4,0,0,dissatisfied
92027,Male,46,Official,Business,1379,2,2,2,2,5,5,5,5,4,0,0,satisfied
115534,Male,50,Official,Economy,277,1,1,1,2,2,2,2,2,2,18,12,dissatisfied
9261,Female,38,Official,Premium,141,4,4,4,,4,4,3,1,4,0,0,satisfied
61033,Female,53,Official,Business,1355,4,4,4,3,5,5,5,5,5,0,0,satisfied
75930,Male,30,Official,Premium,185,2,2,2,,3,3,5,1,3,64,49,dissatisfied
112142,Male,39,Official,Business,806,,2,4,5,5,5,,4,5,0,2,dissatisfied
24518,Male,66,Personal Travel,Premium,464,4,1,2,2,2,2,4,5,2,0,37,dissatisfied
112524,Male,45,Personal Travel,Economy,818,5,3,2,1,1,1,4,5,1,0,0,dissatisfied
101639,Female,25,Official,Business,1292,,5,4,1,,1,2,5,1,1,1,satisfied
85018,Male,52,Official,Business,1071,4,4,4,1,3,2,2,2,4,0,6,dissatisfied
106922,Male,64,Personal Travel,Economy,1133,5,4,2,,2,2,5,3,2,20,5,satisfied
32564,Female,50,Official,Economy,194,0,4,4,4,4,,2,1,4,0,0,dissatisfied
92242,Female,41,Official,Business,1503,1,1,2,3,4,3,5,3,3,0,0,dissatisfied
73302,Male,26,Official,Business,0,1,1,1,4,4,4,2,5,4,45,48,satisfied
42267,Female,25,Official,Economy,0,4,4,3,3,3,3,3,2,3,0,0,dissatisfied
121358,Female,44,Official,Business,1503,3,3,4,5,5,5,,4,5,0,8,dissatisfied
65655,Female,21,Official,,775,0,,4,1,1,1,4,4,1,0,0,satisfied
88062,Male,47,Official,Business,365,2,2,2,3,5,4,4,,4,44,50,satisfied
91330,Male,31,Official,Premium,364,4,,4,4,4,4,2,2,4,17,3,satisfied
22031,Female,57,Personal Travel,Premium,450,,3,2,3,5,5,3,5,5,0,0,dissatisfied
27921,Male,44,Personal Travel,Economy,620,5,3,4,5,2,5,4,5,5,0,0,dissatisfied
51947,Male,45,Official,Business,2790,3,3,3,,3,4,4,4,1,0,0,satisfied
40017,Male,13,Official,Economy,473,2,2,3,3,3,3,1,,3,0,0,dissatisfied
76392,Male,60,Personal Travel,Economy,838,5,0,,4,3,,5,5,4,0,0,satisfied
118486,Female,41,Official,Business,274,5,5,3,2,2,2,4,4,2,31,19,satisfied
6012,Male,30,Official,Business,0,1,,1,4,4,4,2,3,4,81,72,dissatisfied
30183,Female,51,Official,Premium,235,4,4,4,,1,5,5,5,1,0,0,satisfied
41652,Female,61,Official,,312,,5,5,5,4,3,2,3,4,0,11,satisfied
15138,Female,32,Official,Economy,938,1,1,,4,4,4,,1,4,35,34,satisfied
123589,Female,39,Personal Travel,Economy,1596,5,4,5,5,5,5,2,3,5,14,18,dissatisfied
114534,Male,19,Personal Travel,Business,308,,3,2,3,,3,1,3,3,0,0,dissatisfied
93076,Female,15,Personal Travel,Premium,267,5,1,3,5,5,5,1,1,5,67,62,dissatisfied
96963,Female,42,Official,Business,795,3,3,,3,4,3,2,4,3,22,27,satisfied
